,latitude,longitude,code,mwra,p.android.packageinstaller,p.system,p.android.externalstorage,p.android.documentsui,p.android.gm,p.android.settings,p.android.chrome,p.olauncher,p.inputmethod.latin,p.android.gms,p.android.defcontainer,p.android.vending,p.dogalize,p.simulator,p.google,p.process.gapps,p.katana,p.gms.persistent,p.notifier,p.browser.provider,c.katana,c.dogalize,c.android.gm,c.android.chrome,c.android.youtube,c.UCMobile.intl,c.updateassist,c.UCMobile.x86,c.android.vending,c.raider,continent,day,hour,minute
8228,4.2475,9.00472,CM,1.0,10.48474,9.17842,8.50633,11.3895,13.40187,10.09386,9.8529,0.12431,48.57448,60.00068,0.17175,56.16568,30.25781,17.69427,14.4851,31.62489,1.2187,95.95709,12.41844,90.39677,13.37206,12.13996,12.10617,12.64203,11.27665,68.57424,61.39647,49.87349,49.30909,19.091,4,11,3,8
10054,26.68451,-80.66756,US,0.0,5.25461,6.26673,15.94142,10.78814,7.52914,17.22574,13.40471,0.04546,61.0184,49.06186,6.51484,80.43857,28.96409,27.13082,37.21966,96.85127,66.81093,83.21007,15.06145,52.1812,12.36288,11.19206,11.10908,10.41412,11.60378,59.39484,52.93492,48.55243,57.50992,91.96482,2,12,9,34
1180,8.56697,123.33471,PH,1.0,12.7335,9.32055,9.36229,10.42404,14.24248,9.81172,9.80017,0.05261,18.62683,44.54188,1.21392,33.4162,65.49677,53.7239,59.85725,86.38952,65.14141,92.03518,75.12186,47.11954,12.51347,8.84958,11.88354,13.33039,12.86193,52.47565,57.44763,35.87245,16.83607,45.4905,1,6,5,40
400,49.5099,6.74549,DE,0.0,12.46703,11.69113,11.67431,10.81308,9.79709,12.15302,8.92522,0.04979,50.67683,61.5737,49.98515,17.2037,63.96191,90.52889,2.5734,88.80594,49.76073,32.24213,55.7563,19.91859,12.45446,12.39236,7.50871,13.33013,11.85497,58.65504,69.82528,40.7039,96.54476,21.24743,3,5,16,40
14616,31.39547,34.75699,IL,0.0,10.85461,13.10948,14.3804,9.18162,7.55686,14.27609,8.08887,0.11169,50.16079,71.25175,28.16843,67.08566,50.82417,84.21088,29.23827,65.17107,87.65817,15.68753,71.89871,4.66204,13.26578,7.06859,12.92508,15.67602,11.13485,58.36217,43.02217,50.84301,88.53269,33.85989,1,15,13,36
12531,-7.81667,112.01667,ID,0.0,12.59354,6.67476,9.54387,10.28536,12.1037,8.46269,10.00177,0.13764,33.84708,59.59492,47.71951,18.39463,21.62338,69.38301,83.12061,31.82734,85.90831,12.586,13.61088,84.23701,13.47536,12.80057,15.50125,11.38997,13.58482,60.22676,61.14242,23.77938,65.62791,9.65343,1,14,2,51
3625,31.28092,74.85849,IN,0.0,7.4907,12.16312,11.3334,11.18087,10.31815,12.06571,6.60448,1.09969,35.57112,48.56385,91.72781,19.37515,97.37508,76.23358,1.69134,50.40315,58.53301,48.09119,1.89696,62.38245,15.55276,12.61468,7.44985,12.70378,11.88895,41.53505,63.02927,67.19973,72.43624,21.63508,1,7,22,25
8031,48.73218,11.18709,DE,1.0,13.30124,10.35406,9.12649,9.158,12.41259,9.6741,5.96685,0.02043,50.0763,55.93475,32.55605,9.45133,43.03235,62.88452,90.01265,48.52298,71.59274,80.81671,86.57701,4.29359,11.56378,13.74126,13.1312,13.4695,12.76042,50.25891,61.31303,53.39034,65.41638,49.52228,3,10,23,51
4399,47.64995,-117.23991,US,1.0,10.24715,10.66751,10.67363,14.94918,11.17937,3.18594,12.35346,4.2591,53.53806,39.55766,76.74658,87.91699,56.59798,33.43505,57.53596,29.94464,64.09486,94.71429,21.51548,29.07985,16.90681,7.00353,12.22949,13.46343,9.36513,57.04846,48.64797,56.4664,0.39179,66.89445,2,8,11,19
14465,59.33333,18.28333,SE,1.0,7.30419,9.10336,10.66588,11.33003,10.90445,10.70426,10.97745,0.52618,74.10774,40.4015,36.91858,79.3872,97.25237,18.42635,35.65885,43.52571,17.24061,53.69839,17.55239,58.58624,14.81559,8.76206,11.91721,9.85494,10.0268,75.62801,49.28915,72.86258,94.48007,1.4278,3,15,11,5
