ts	imei	mwra	c.katana	c.dogalize	c.android.gm	c.android.chrome	c.android.youtube	c.UCMobile.intl	c.updateassist	c.UCMobile.x86	c.android.vending	c.raider
2018-05-05 10:00:00	3590433799317661339	1.00000	12.59948	8.68233	10.47388	10.83279	9.88566	42.78450	68.04373	48.16608	29.46806	62.29823
2018-05-05 10:01:00	8630330696303481149	0.00000	10.12035	13.40907	9.91671	12.68924	9.97613	41.56210	50.81831	34.35584	27.40876	58.79877
2018-05-05 10:02:00	3590433799317662295	0.00000	15.37526	17.28039	17.43219	11.82565	13.14464	68.96152	42.46043	52.57066	42.52979	14.00816
2018-05-05 10:03:00	3590433799317662113	0.00000	12.23041	8.08404	11.92790	12.78835	12.77756	61.50057	62.83317	43.63141	78.21635	85.93087
2018-05-05 10:04:00	359043379931766486	1.00000	10.15839	8.09159	11.92699	7.43053	9.74092	61.38455	64.47625	34.24340	68.61573	3.01488
2018-05-05 10:05:00	8630330696303482279	1.00000	12.59324	17.41716	12.98206	13.94175	14.66482	71.37659	60.33961	65.21970	23.46303	28.61975
2018-05-05 10:06:00	3590433799317661602	0.00000	12.04281	14.30295	11.92121	13.92000	15.60628	68.87711	52.45251	38.73761	82.52462	70.05319
2018-05-05 10:07:00	3590433799317661412	1.00000	11.42619	10.89804	12.70130	11.24425	15.30474	59.87633	46.38876	40.38265	53.97284	53.41046
2018-05-05 10:08:00	8630330696303482188	0.00000	13.68876	12.38871	8.79636	13.52972	16.44750	46.23050	71.75934	52.98618	67.46782	21.73741
2018-05-05 10:09:00	8630330696303482006	1.00000	12.72489	8.99333	15.04795	11.60846	7.72483	75.95778	52.66997	53.00790	49.61408	47.93324
2018-05-05 10:10:00	863033069630348487	0.00000	13.91780	11.92905	7.75776	11.89323	13.69977	68.91573	66.38551	43.32917	63.79518	30.60911
2018-05-05 10:11:00	8630330696303481578	1.00000	14.09345	14.63340	15.37344	10.90232	12.52412	45.11236	73.82188	38.75209	9.48831	65.54942
2018-05-05 10:12:00	8630330696303482287	1.00000	15.54645	10.85928	11.37881	8.97098	8.11416	65.33642	60.05415	54.44220	33.03627	43.10852
2018-05-05 10:13:00	8630330696303481685	0.00000	13.01223	13.23539	7.45189	12.18221	15.26538	58.46515	55.84398	54.88366	27.43698	20.71358
2018-05-05 10:14:00	3590433799317661826	1.00000	15.62950	9.05868	12.49536	12.61159	9.37411	69.85486	74.01715	52.75984	4.58345	29.15628
2018-05-05 10:15:00	3590433799317662287	0.00000	15.56701	9.16136	10.63639	12.01118	10.01197	73.53765	45.05861	39.47007	47.56557	60.50102
2018-05-05 10:16:00	3590433799317661214	1.00000	13.60579	7.63047	14.51278	9.28309	9.14708	86.79969	55.71094	43.69850	60.99279	47.13494
2018-05-05 10:17:00	359043379931766288	1.00000	10.25716	13.90319	11.52954	13.33178	13.55897	44.70690	48.90762	53.30251	1.49993	59.01928
2018-05-05 10:18:00	863033069630348057	0.00000	12.52930	12.27987	7.23557	18.15277	10.85799	62.90013	37.99994	59.12113	8.73209	17.32319
2018-05-05 10:19:00	3590433799317661057	0.00000	17.22020	10.61394	3.97001	15.23868	14.88859	57.85165	60.51650	50.22851	95.92875	21.60804
2018-05-05 10:20:00	359043379931766809	1.00000	17.01570	7.64460	10.73037	9.99137	9.39312	66.73152	59.67907	36.00682	66.44607	90.86420
2018-05-05 10:21:00	359043379931766320	1.00000	15.03795	8.60256	15.87697	7.96283	12.87370	57.66222	69.53638	66.09061	41.34078	1.95159
2018-05-05 10:22:00	3590433799317662360	1.00000	14.90578	8.26541	13.91791	13.30422	10.43973	54.13314	57.12960	40.38234	36.51998	0.41903
2018-05-05 10:23:00	863033069630348891	1.00000	14.21402	8.27630	14.69726	11.04882	12.23265	58.89281	59.56757	36.90217	45.22689	52.71644
2018-05-05 10:24:00	359043379931766650	1.00000	10.73534	12.41830	12.91909	12.72499	13.19528	53.17306	79.02493	39.90142	86.71358	5.87581
2018-05-05 10:25:00	8630330696303482162	1.00000	15.46822	9.08980	12.51338	9.67536	11.21493	48.82946	55.32302	60.02626	74.07626	20.70349
2018-05-05 10:26:00	8630330696303481511	1.00000	13.53843	12.07556	13.00723	12.35737	11.54949	54.43061	28.94476	57.55932	19.17113	72.48718
2018-05-05 10:27:00	3590433799317661032	0.00000	12.95974	16.22106	16.30987	8.87039	13.77584	62.55530	62.48172	57.65222	37.89790	57.12936
2018-05-05 10:28:00	8630330696303481552	0.00000	13.43841	11.19237	12.01165	16.02607	10.95185	54.43721	57.01521	78.45115	15.10932	98.55184
2018-05-05 10:29:00	3590433799317661974	1.00000	12.98073	11.72283	13.14596	11.85579	11.94515	56.73466	39.20116	64.65620	85.83856	92.39045
2018-05-05 10:30:00	8630330696303481792	0.00000	14.25721	7.07410	14.22666	13.38340	11.02902	47.57525	59.06938	43.60470	51.76356	10.73167
2018-05-05 10:31:00	863033069630348701	1.00000	12.09014	8.17870	14.32657	10.77737	12.97980	80.53565	63.23483	38.89295	66.02451	56.15745
2018-05-05 10:32:00	3590433799317662139	1.00000	12.16136	8.20126	11.87012	11.74801	11.11414	56.72005	53.20656	18.51833	65.25152	35.21417
2018-05-05 10:33:00	359043379931766049	1.00000	12.63654	8.82442	12.94344	11.86608	10.68252	67.71371	44.52506	73.86146	96.37114	32.90250
2018-05-05 10:34:00	3590433799317661008	1.00000	12.11955	9.60694	15.40054	12.14220	9.13012	38.71828	40.95095	51.28096	28.10092	89.06113
2018-05-05 10:35:00	8630330696303481263	1.00000	11.56261	11.34751	7.98199	3.75515	7.23493	65.91800	47.37985	44.69934	32.49020	64.36990
2018-05-05 10:36:00	8630330696303481685	0.00000	13.20865	8.78415	11.32989	12.36255	11.09355	57.12729	44.28264	50.43662	86.47408	78.62164
2018-05-05 10:37:00	3590433799317661081	0.00000	15.05737	12.61357	11.51849	11.68490	12.90499	60.83858	64.11422	62.03108	22.98655	83.04306
2018-05-05 10:38:00	8630330696303481933	1.00000	15.76468	9.08213	12.91430	6.95629	9.67809	66.78669	34.69664	48.12352	57.08967	93.31186
2018-05-05 10:39:00	359043379931766007	0.00000	12.21062	14.92323	12.23971	12.55056	17.21409	48.38080	52.92225	59.08338	27.52162	59.20957
2018-05-05 10:40:00	3590433799317661560	0.00000	13.09515	7.23464	11.66531	15.61935	11.21346	42.62063	70.95085	40.90505	96.07100	23.84304
2018-05-05 10:41:00	3590433799317661263	1.00000	11.23337	7.73670	10.53946	6.84915	12.40838	54.60534	59.06289	48.87538	90.95968	94.81866
2018-05-05 10:42:00	3590433799317662287	1.00000	12.71956	13.87718	11.75205	14.03251	13.93587	67.59796	53.94312	57.02338	66.76914	53.27278
2018-05-05 10:43:00	8630330696303482139	1.00000	13.79353	18.86052	12.79827	15.98834	14.19277	61.25079	56.24091	42.67580	63.67976	53.05894
2018-05-05 10:44:00	3590433799317661420	1.00000	14.09780	15.58340	10.48078	15.39253	10.75496	71.09259	47.51397	72.57048	29.49941	89.04926
2018-05-05 10:45:00	359043379931766643	1.00000	11.53990	12.16492	13.59386	13.73056	12.24768	67.10261	59.51174	50.75700	75.55235	79.07658
2018-05-05 10:46:00	3590433799317662436	1.00000	13.32784	12.98978	14.15417	8.11997	5.55965	31.41572	53.70971	35.13762	9.07852	65.81429
2018-05-05 10:47:00	3590433799317662113	1.00000	14.97514	14.64733	14.32257	13.32749	12.35726	68.08690	41.21679	42.57068	7.85784	98.53680
2018-05-05 10:48:00	3590433799317661297	1.00000	15.21749	12.33989	13.47687	12.53160	12.70338	74.63284	56.86681	51.78104	61.97213	58.99391
2018-05-05 10:49:00	863033069630348685	1.00000	13.33101	8.29484	13.25755	10.76699	11.53787	47.37633	47.04413	65.21157	52.72970	33.68469
