latitude	longitude	store_name	code	location	imei
28.54944	-81.77285	Clermont	US	America/New_York	3590433799317661198
51.39148	-0.29825	Surbiton	GB	Europe/London	8630330696303481057
13.8196	100.04427	Nakhon Pathom	TH	Asia/Bangkok	8630330696303481610
-28.24	-48.67028	Imbituba	BR	America/Sao_Paulo	359043379931766619
47.48444	36.25361	Polohy	UA	Europe/Zaporozhye	3590433799317662428
40.34912	-111.90466	Saratoga Springs	US	America/Denver	8630330696303481057
14.8361	120.97844	Guyong	PH	Asia/Manila	359043379931766973
7.62789	4.74161	Ilesa	NG	Africa/Lagos	359043379931766114
48.07667	8.64409	Trossingen	DE	Europe/Berlin	863033069630348065
54.52156	9.5586	Schleswig	DE	Europe/Berlin	359043379931766254
0.46005	34.11169	Busia	KE	Africa/Nairobi	863033069630348404
41.55838	-81.56929	Collinwood	US	America/New_York	3590433799317661479
-17.83333	48.41667	Ambatondrazaka	MG	Indian/Antananarivo	359043379931766346
38.58894	-89.99038	Fairview Heights	US	America/Chicago	8630330696303481206
39.78504	-85.76942	Greenfield	US	America/Indiana/Indianapolis	3590433799317662337
34.06635	-84.67837	Acworth	US	America/New_York	359043379931766544
52.53048	13.29371	Charlottenburg-Nord	DE	Europe/Berlin	3590433799317662139
35.05266	-78.87836	Fayetteville	US	America/New_York	863033069630348107
-33.88096	151.07986	Strathfield	AU	Australia/Sydney	359043379931766650
-21.98333	16.91667	Okahandja	NA	Africa/Windhoek	3590433799317662204
41.94175	123.50266	Hushitai	CN	Asia/Shanghai	3590433799317661735
68.79833	16.54165	Harstad	NO	Europe/Oslo	359043379931766635
52.48173	-2.12139	Brierley Hill	GB	Europe/London	8630330696303481503
41.92361	20.91361	Bogovinje	MK	Europe/Skopje	8630330696303482048
31.39547	34.75699	Rahat	IL	Asia/Jerusalem	8630330696303482253
11.93381	79.82979	Puducherry	IN	Asia/Kolkata	3590433799317661693
39.45621	-77.96389	Martinsburg	US	America/New_York	8630330696303481842
