ts	imei	mwra	p.android.packageinstaller	p.system	p.android.externalstorage	p.android.documentsui	p.android.gm	p.android.settings	p.android.chrome	p.olauncher	p.inputmethod.latin	p.android.gms	p.android.defcontainer	p.android.vending	p.dogalize	p.simulator	p.google	p.process.gapps	p.katana	p.gms.persistent	p.notifier	p.browser.provider
2018-05-05 10:00:00	3590433799317661339	1.00000	7.65899	6.85726	9.87991	12.31537	9.41551	14.14158	14.95030	0.05732	33.60689	53.98179	15.25137	54.32321	9.63600	26.84388	6.42931	50.30244	52.99019	60.25187	90.95235	65.72191
2018-05-05 10:01:00	8630330696303481149	0.00000	7.78225	6.94608	12.03426	13.36483	9.93635	17.04880	11.41472	0.00484	33.92014	71.51413	90.31625	7.19772	31.04868	59.75936	79.85170	8.55948	40.16116	59.95032	69.05667	76.12164
2018-05-05 10:02:00	3590433799317662295	0.00000	13.08195	9.42838	9.35317	5.99089	11.56038	8.67312	10.31768	0.92095	40.44780	57.96848	29.21294	8.95161	99.91985	72.63133	20.38987	14.14359	78.97842	0.00000	23.10094	66.35349
2018-05-05 10:03:00	3590433799317662113	0.00000	6.11318	12.85907	13.96686	5.57127	8.51068	12.03603	10.38561	0.03969	68.73041	66.76619	16.43758	51.51451	19.79541	4.10968	18.21893	99.73817	91.18229	56.17150	96.14354	58.44962
2018-05-05 10:04:00	359043379931766486	1.00000	8.46230	9.76227	10.11992	11.76912	14.38693	9.72909	14.07713	0.00517	58.03149	27.42316	67.16809	98.67994	63.00890	47.67131	40.63608	40.64012	75.52116	48.58727	55.22866	98.07054
2018-05-05 10:05:00	8630330696303482279	1.00000	16.73910	13.08504	7.98724	5.78117	16.08337	11.33041	9.87970	0.05711	36.84516	52.85390	99.37235	13.88096	70.21748	44.88887	58.19093	23.32707	86.53954	12.31246	83.37246	34.92117
2018-05-05 10:06:00	3590433799317661602	0.00000	10.49413	9.13874	14.59783	10.53524	9.21574	10.04518	11.00500	0.03275	45.69231	52.41627	7.06551	2.23322	73.32147	30.21029	39.81864	45.15017	48.42298	3.46944	90.96709	62.77021
2018-05-05 10:07:00	3590433799317661412	1.00000	15.27296	6.68466	7.64778	9.56067	13.43454	10.10899	14.57219	0.01787	51.17285	71.46006	61.78796	7.67000	22.65802	37.75036	15.07519	87.28631	16.44994	81.35467	51.13600	54.73810
2018-05-05 10:08:00	8630330696303482188	0.00000	9.14742	9.72024	12.72127	13.02954	11.19761	11.70276	11.40366	0.17074	45.69391	61.91259	34.95171	11.17988	91.98583	7.58799	23.18071	11.25540	29.31216	85.02041	43.13365	27.25838
2018-05-05 10:09:00	8630330696303482006	1.00000	11.68950	9.53898	8.07615	14.98245	9.86079	9.97534	13.23162	0.06513	49.66255	48.95029	33.29153	92.91747	32.80924	81.46832	79.22039	29.20911	48.95971	5.47766	55.57401	44.33832
2018-05-05 10:10:00	863033069630348487	0.00000	10.52396	9.59481	12.57084	13.97282	8.66982	12.65855	8.65918	0.21435	32.09692	69.18543	82.48766	18.29878	38.50917	57.32796	97.95230	45.76425	21.33329	27.11431	98.93609	11.86467
